location_id,icao,lcd_id,dist_km,elev_m,archive_begin,tier
248,BOS,USW00014739,12.8,9.0,1936-01-01,1
249,RDD,USW00024257,12.0,153.0,1944-09-01,1
250,SFF,USW00094176,6.4,595.0,1930-07-01,1
251,HOU,USW00012918,23.2,14.0,1929-02-01,1
252,LWC,USW00003997,4.5,253.47006,1996-06-30,1
253,SBA,USW00023190,13.4,3.0,1937-01-01,1
254,SLC,USW00024127,26.3,1288.0,1930-02-06,1
255,MCN,USW00003813,16.6,110.0,1941-10-19,1
256,DEN,USW00003017,53.1,1656.0,1974-11-12,1
257,RWI,USW00093759,54.6,48.0,1973-06-20,1
258,UGN,USW00014880,7.0,216.0,1989-04-21,1
259,EWB,USW00094726,16.6,24.0,1972-12-31,1
260,OVE,USW00093210,32.3,58.0,1998-07-01,1
261,BED,USW00014702,16.2,41.0,1943-02-05,1
262,RDG,USW00014712,5.7,105.0,1943-06-08,1
263,FSM,USW00013964,6.2,141.0,1947-01-01,1
264,SNA,USW00093184,8.5,16.0,1940-06-17,1
265,AVL,USW00003812,18.2,661.0,1948-01-01,1
266,MHT,USW00014710,18.8,71.0,1947-12-31,1
267,PWA,USW00003954,20.2,396.0,1980-10-23,1
268,BOI,USW00024131,26.1,874.0,1929-01-01,1
269,MSP,USW00014922,7.2,265.0,1931-01-01,1
270,SFB,USW00012854,13.6,17.0,1945-04-01,1
271,DLH,USW00014913,9.4,435.0,1940-08-08,1
272,EYE,USW00053842,22.8,248.0,1996-06-30,1
273,NGU,USW00013750,35.1,5.0,1945-02-01,1
274,HWD,USW00093228,31.2,8.88734,1972-12-31,1
275,SCK,USW00023237,23.7,8.0,1941-01-03,1
276,BFI,USW00024234,18.1,5.0,1930-01-01,1
277,TTN,USW00014792,9.1,65.0,1930-06-07,1
278,OGD,USW00024126,4.5,1362.0,1948-01-01,1
279,MDW,USW00014819,6.7,188.0,1928-10-04,1
280,SGR,USW00012977,2.1,2.0,1996-07-01,1
281,DXR,USW00054734,3.5,139.0,1973-06-22,1
282,TRM,USW00003104,11.7,-37.0,1943-07-12,1
283,CLT,USW00013881,39.8,228.0,1941-07-22,1
284,RAL,USW00003171,37.2,249.0,1977-01-16,1
285,DEC,USW00003887,61.6,207.0,1973-01-01,1
286,PTK,USW00094817,23.1,299.0,1972-12-31,1
287,SUS,USW00003966,17.5,141.0,1972-12-31,1
288,BLI,USW00024217,6.5,48.0,1930-02-05,1
289,DTW,USW00094847,11.9,195.0,1942-08-01,1
290,BMG,USW00003893,8.1,257.0,1972-12-31,1
291,SUX,USW00014943,12.2,336.0,1939-12-04,1
292,PSP,USW00093138,43.9,141.0,1943-05-10,1
293,GGG,USW00003901,13.3,124.0,1947-05-04,1
294,RDM,USW00024230,25.5,938.0,1942-01-01,1
295,MAE,USW00093242,48.3,76.45073,1998-10-01,1
296,LGA,USW00014732,16.8,9.0,1935-02-22,1
297,APC,USW00093227,10.1,7.9653864,1972-12-31,1
298,MDW,USW00014819,30.8,188.0,1928-10-04,1
299,FYV,USW00093993,6.5,381.0,1949-07-14,1
300,PIA,USW00014842,61.7,205.0,1935-04-17,1
301,DAB,USW00012834,47.2,11.0,1943-05-01,1
302,VPZ,USW00004846,32.2,231.0,1997-11-30,1
303,RAC,USW00094818,4.6,203.0,1998-03-31,1
304,LYH,USW00013733,11.8,286.0,1947-12-31,1
305,MFR,USW00024225,6.0,405.0,1911-08-01,1
306,STJ,USW00013993,5.4,247.0,1944-03-01,1
307,PHL,USW00013739,10.8,2.0,1940-01-25,1
308,CDC,USW00093129,78.8,1714.0,1928-01-01,1
309,PSC,USW00024163,6.1,124.0,1945-04-01,1
310,ABY,USW00013869,6.1,59.0,1948-01-01,1
311,ORD,USW00094846,14.8,205.0,1946-10-01,1
312,AVP,USW00014777,9.8,290.0,1934-09-21,1
313,AZO,USW00094815,7.0,272.0,1972-12-31,1
314,HOU,USW00012918,31.5,14.0,1929-02-01,1
315,FYV,USW00093993,20.6,381.0,1949-07-14,1
316,ABE,USW00014737,7.2,117.0,1929-12-31,1
317,CHS,USW00013880,21.2,10.024509,1945-01-01,1
318,DEC,USW00003887,7.6,207.0,1973-01-01,1
319,CWF,USW00003937,7.3,4.0,1918-01-01,1
320,FCM,USW00094963,20.6,270.76904,1983-11-03,1
321,DPA,USW00094892,27.6,231.0,1972-12-31,1
322,OSH,USW00094855,32.9,248.0,1972-12-31,1
323,CLT,USW00013881,21.6,228.0,1941-07-22,1
324,PTK,USW00094817,22.1,299.0,1972-12-31,1
325,CAK,USW00014895,14.1,374.0,1948-07-01,1
326,MCN,USW00003813,9.2,110.0,1941-10-19,1
327,SCK,USW00023237,11.0,8.0,1941-01-03,1
328,IOW,USW00014937,2.7,204.0,1996-07-01,1
329,JBR,USW00003953,5.4,79.0,1972-12-31,1
330,ILG,USW00013781,9.0,24.0,1948-01-01,1
331,PVD,USW00014765,17.9,19.0,1948-01-01,1
332,DJT,USW00012844,17.0,6.0,1938-07-01,1
333,MKE,USW00014839,28.1,204.0,1929-03-11,1
334,ASD,USW00053865,70.0,8.0,1998-09-01,1
335,RCA,USW00024090,12.4,977.4339,1939-02-01,1
336,OGD,USW00024126,15.5,1362.0,1948-01-01,1
337,LAF,USW00014835,4.9,182.0,1948-11-30,1
338,MOD,USW00023258,17.4,30.0,1972-12-31,1
339,MIE,USW00094895,5.6,285.0,1972-12-31,1
340,ACT,USW00013959,58.8,155.0,1929-03-11,1
341,SGR,USW00012977,11.5,2.0,1996-07-01,1
342,LVS,USW00023054,72.0,2095.0,1946-08-01,1
343,MSO,USW00024153,8.6,972.0,1948-01-01,1
344,CLT,USW00013881,33.7,228.0,1941-07-22,1
345,NCA,USW00093727,5.1,8.0,1955-01-03,1
346,BNA,USW00013897,27.0,180.0,1934-01-01,1
347,FLG,USW00003103,6.7,2137.0,1948-01-01,1
348,HWO,USW00092809,19.4,3.0,1999-04-30,1
349,ALO,USW00094910,8.3,268.0,1949-01-01,1
350,FMY,USW00012835,6.3,5.0,1919-08-01,1
351,DHN,USW00013839,12.2,122.0,1941-12-16,1
352,HHR,USW00003167,9.5,19.0,1972-12-31,1
353,MKL,USW00003811,9.6,132.0,1948-07-01,1
354,PSC,USW00024163,3.1,124.0,1945-04-01,1
355,STL,USW00013994,11.4,171.0,1929-01-01,1
356,EAU,USW00014991,6.2,270.0,1947-07-04,1
357,N60,USW00094041,105.5,587.0,1976-08-20,1
358,MSY,USW00012916,0.9,9.0,1932-05-01,1
359,MRB,USW00013734,49.3,170.0,1948-12-31,1
360,OSH,USW00094855,4.7,248.0,1972-12-31,1
361,PWM,USW00014764,4.5,19.0,1948-01-01,1
362,STC,USW00014926,8.9,314.0,1948-01-01,1
363,SMF,USW00093225,21.2,7.0,1972-12-31,1
364,NTD,USW00093111,13.1,2.0,1946-03-01,1
365,AQW,USW00054768,64.2,476.0,1972-12-31,1
366,IAD,USW00093738,31.4,98.0,1962-11-16,1
367,HRL,USW00012904,5.9,11.0,1942-03-01,1
368,MYV,USW00093205,5.9,16.997013,1943-08-11,1
369,YNG,USW00014852,17.3,360.0,1947-12-31,1
370,MCO,USW00012815,18.1,32.0,1952-05-07,1
371,TRI,USW00013877,18.7,463.0,1934-07-01,1
372,VCT,USW00012912,9.5,36.0,1941-11-04,1
373,NFG,USW00053121,27.7,24.0,1966-07-01,1
374,TMB,USW00012888,19.8,3.0,1976-06-19,1
375,DCA,USW00013743,28.3,20.0,1929-07-01,1
376,RFD,USW00094822,54.9,220.0,1951-03-01,1
377,LIT,USW00013963,44.4,79.0,1948-07-01,1
378,LPR,USW00004849,11.9,241.0,1998-04-28,1
379,SCK,USW00023237,26.8,8.0,1941-01-03,1
380,SAT,USW00012921,38.4,242.0,1934-03-09,1
381,MAE,USW00093242,5.2,76.45073,1998-10-01,1
382,CXO,USW00053902,6.0,75.0,1997-01-01,1
383,WVI,USW00023277,21.8,49.7,1945-03-01,1
384,FCM,USW00094963,3.3,270.76904,1983-11-03,1
385,CYS,USW00024018,1.9,1871.0,1934-01-04,1
386,DAB,USW00012834,4.9,11.0,1943-05-01,1
387,HAO,USW00053855,5.2,188.0,1997-05-31,1
388,BED,USW00014702,11.3,41.0,1943-02-05,1
389,MSP,USW00014922,32.5,265.0,1931-01-01,1
