location_id,lat,lng,cell_lat,cell_lon,snapped
210,39.581,-104.877,39.5625,-104.9375,False
211,47.979,-122.202,47.9375,-122.1875,False
212,33.914,-98.493,33.9375,-98.4375,False
213,28.034,-80.589,28.0625,-80.5625,False
214,44.519,-88.02,44.5625,-88.0625,False
215,26.238,-80.125,26.1875,-80.1875,False
216,36.061,-95.797,36.0625,-95.8125,False
217,40.015,-105.271,40.0625,-105.3125,False
218,26.715,-80.053,26.6875,-80.0625,False
219,34.953,-120.436,34.9375,-120.4375,False
220,41.524,-90.578,41.5625,-90.5625,False
221,32.32,-106.764,32.3125,-106.8125,False
222,37.563,-122.326,37.5625,-122.3125,False
223,41.676,-86.252,41.6875,-86.3125,False
224,28.039,-81.95,28.0625,-81.9375,False
225,42.129,-80.085,42.1875,-80.0625,False
226,32.351,-95.301,32.3125,-95.3125,False
227,29.564,-95.286,29.5625,-95.3125,False
228,30.628,-96.334,30.6875,-96.3125,False
229,42.585,-87.821,42.5625,-87.8125,False
230,33.93,-84.373,33.9375,-84.3125,False
231,43.013,-83.687,43.0625,-83.6875,False
232,37.271,-79.941,37.3125,-79.9375,False
233,42.653,-73.756,42.6875,-73.8125,False
234,31.464,-100.437,31.4375,-100.4375,False
235,45.523,-122.99,45.5625,-122.9375,False
236,34.604,-98.396,34.5625,-98.4375,False
237,40.423,-104.709,40.4375,-104.6875,False
238,33.6,-117.672,33.5625,-117.6875,False
239,42.322,-83.176,42.3125,-83.1875,False
240,33.21,-87.569,33.1875,-87.5625,False
241,41.636,-70.934,41.6875,-70.9375,False
242,42.083,-71.018,42.0625,-71.0625,False
243,46.602,-120.506,46.5625,-120.5625,False
244,47.322,-122.313,47.3125,-122.3125,False
245,34.019,-118.491,34.0625,-118.4375,False
246,35.233,-106.663,35.1875,-106.6875,False
247,32.693,-114.628,32.6875,-114.6875,False
248,42.467,-70.949,42.4375,-70.9375,False
249,40.587,-122.392,40.5625,-122.4375,False
250,47.673,-117.239,47.6875,-117.1875,False
251,29.507,-95.095,29.5625,-95.0625,False
252,38.972,-95.235,38.9375,-95.1875,False
253,34.421,-119.698,34.4375,-119.6875,False
254,40.565,-111.839,40.5625,-111.8125,False
255,32.841,-83.632,32.8125,-83.6875,False
256,40.167,-105.102,40.1875,-105.0625,False
257,35.613,-77.366,35.5625,-77.3125,False
258,42.364,-87.845,42.3125,-87.8125,False
259,41.701,-71.155,41.6875,-71.1875,False
260,39.728,-121.837,39.6875,-121.8125,False
261,42.337,-71.209,42.3125,-71.1875,False
262,40.336,-75.927,40.3125,-75.9375,False
263,35.386,-94.399,35.4375,-94.4375,False
264,33.619,-117.929,33.5625,-117.9375,False
265,35.595,-82.551,35.5625,-82.5625,False
266,42.765,-71.468,42.8125,-71.4375,False
267,35.653,-97.478,35.6875,-97.4375,False
268,43.541,-116.563,43.5625,-116.5625,False
269,44.841,-93.298,44.8125,-93.3125,False
270,28.901,-81.264,28.9375,-81.3125,False
271,46.787,-92.1,46.8125,-92.0625,False
272,39.978,-86.118,39.9375,-86.0625,False
273,36.728,-76.584,36.6875,-76.5625,False
274,37.682,-121.768,37.6875,-121.8125,False
275,37.74,-121.425,37.6875,-121.4375,False
276,47.681,-122.209,47.6875,-122.1875,False
277,40.217,-74.743,40.1875,-74.6875,False
278,41.223,-111.974,41.1875,-111.9375,False
279,41.846,-87.754,41.8125,-87.8125,False
280,29.62,-95.635,29.5625,-95.6875,False
281,41.395,-73.454,41.4375,-73.4375,False
282,33.721,-116.216,33.6875,-116.1875,False
283,35.409,-80.58,35.4375,-80.5625,False
284,33.697,-117.185,33.6875,-117.1875,False
285,40.116,-88.243,40.0625,-88.1875,False
286,42.606,-83.15,42.5625,-83.1875,False
287,38.811,-90.7,38.8125,-90.6875,False
288,48.749,-122.478,48.6875,-122.4375,False
289,42.324,-83.4,42.3125,-83.4375,False
290,39.165,-86.526,39.1875,-86.5625,False
291,42.5,-96.4,42.5625,-96.4375,False
292,33.748,-116.972,33.6875,-116.9375,False
293,32.501,-94.74,32.5625,-94.6875,False
294,44.058,-121.315,44.0625,-121.3125,False
295,37.302,-120.483,37.3125,-120.4375,False
296,40.911,-73.782,40.9375,-73.8125,False
297,38.298,-122.287,38.3125,-122.3125,False
298,41.583,-87.5,41.5625,-87.4375,False
