location_id,center_lat,center_lng,offset_km,matched
221,31.5493,-97.1467,4.2,True
222,39.868,-104.9719,6.38,True
223,31.9974,-102.0779,4.52,True
224,42.2711,-89.094,2.83,True
225,34.0007,-81.0348,12.66,True
226,36.3302,-119.2921,3.13,True
227,33.1192,-117.0864,1.93,True
228,43.0481,-76.1474,0.85,True
229,48.4168,-71.0657,6.68,True
230,49.8831,-119.4857,3.24,True
231,43.5459,-80.256,1.65,True
232,43.6121,-116.3915,0.74,True
233,34.5361,-117.2912,5.8,True
234,30.5083,-97.6789,2.47,True
235,32.2988,-90.1848,3.25,True
236,41.0534,-73.5387,2.97,True
237,46.3451,-72.5477,5.24,True
238,33.0462,-96.9942,1.89,True
239,26.2712,-80.2706,1.13,True
240,41.3081,-72.9282,0.4,True
241,33.8703,-117.9253,1.73,True
242,43.3601,-80.3127,5.5,True
243,33.8359,-118.3406,1.59,True
244,33.7878,-117.8531,0.76,True
245,42.0083,-91.6441,5.7,True
246,40.6916,-112.0011,0.97,True
247,37.0299,-76.3452,4.71,True
248,42.4904,-83.013,1.02,True
249,43.1713,-79.2427,1.78,True
250,39.7589,-84.1916,2.94,True
251,46.8772,-96.7898,3.29,True
252,34.1478,-118.1445,1.55,True
253,47.3809,-122.2348,1.9,True
254,32.9537,-96.8903,4.07,True
255,42.5803,-83.0302,0.1,True
256,43.5168,-79.8829,7.24,True
257,49.1011,-122.6588,6.21,True
258,44.2298,-76.481,4.11,True
259,32.4487,-99.7331,0.79,True
260,35.2226,-97.4395,8.79,True
261,38.9517,-92.3341,0.82,True
262,29.5636,-95.2861,3.68,True
263,36.8252,-119.7029,1.9,True
264,32.8546,-79.9748,10.97,True
265,33.9609,-83.3779,1.45,True
266,30.628,-96.3344,5.99,True
267,26.7153,-80.0534,8.03,True
268,34.2356,-77.946,6.27,True
269,40.6084,-75.4902,1.93,True
270,39.0483,-95.678,2.18,True
271,28.0395,-81.9498,1.85,True
272,33.3703,-112.5838,8.67,True
273,36.0526,-95.7908,2.0,True
274,34.2694,-118.7815,3.04,True
275,44.0216,-92.4699,1.07,True
276,30.2241,-92.0198,2.2,True
277,38.1041,-122.2566,0.59,True
278,37.978,-122.0311,2.66,True
279,39.8028,-105.0875,6.37,True
280,31.8457,-102.3676,4.41,True
281,42.3751,-71.1056,1.08,True
282,29.703,-98.1244,0.99,True
283,38.2494,-122.04,1.55,True
284,42.2776,-83.7409,0.84,True
285,34.1706,-118.8376,4.21,True
286,41.7637,-72.6851,0.38,True
287,37.8716,-122.2728,2.37,True
288,39.0911,-94.4155,5.51,True
289,43.4668,-80.5164,2.8,True
290,45.7833,-108.5007,4.06,True
291,35.9557,-80.0053,4.07,True
292,43.5407,-116.5635,5.08,True
293,42.6334,-71.3162,0.74,True
294,45.7,-73.6473,2.57,True
295,29.5074,-95.0949,2.37,True
296,30.3119,-95.4561,3.32,True
297,38.0049,-121.8058,3.08,True
298,33.7283,-117.1464,5.53,True
299,32.9482,-96.7297,3.36,True
300,48.5496,-123.3693,6.18,True
301,26.2379,-80.1248,1.0,True
302,32.3123,-106.7783,1.89,True
303,42.9956,-71.4548,1.48,True
304,40.6097,-111.9391,5.31,True
305,39.8366,-105.0372,5.26,True
306,37.9748,-87.5559,2.35,True
307,41.5581,-73.0515,1.23,True
308,42.0373,-88.2812,3.68,True
309,40.4233,-104.7091,5.34,True
310,33.4936,-117.1484,1.55,True
311,37.9358,-122.3478,2.16,True
312,35.4089,-80.5816,5.23,True
313,40.2338,-111.6585,1.71,True
314,35.2334,-106.6645,6.55,True
315,27.9658,-82.8001,3.2,True
316,33.2098,-87.5692,4.68,True
317,33.5539,-117.2139,3.02,True
318,42.7325,-84.5555,2.07,True
319,32.3513,-95.3011,3.81,True
320,25.942,-80.2456,0.79,True
321,47.979,-122.2021,1.76,True
322,39.8017,-89.6437,1.18,True
323,30.0861,-94.1018,4.18,True
324,33.5926,-84.6729,9.58,True
325,33.1581,-117.3506,6.96,True
326,39.5349,-119.7527,5.43,True
327,45.4982,-122.4315,0.91,True
328,34.953,-120.4357,2.33,True
329,45.5229,-122.9898,4.26,True
330,40.6936,-89.589,6.87,True
331,26.0629,-80.2331,5.3,True
332,26.3017,-98.1633,2.1,True
333,47.5649,-52.7093,18.43,True
334,38.2544,-104.6091,1.65,True
335,34.2783,-119.2932,3.77,True
336,29.585,-81.2078,6.32,True
337,48.382,-89.2502,4.2,True
338,37.1041,-113.5841,3.09,True
339,39.5792,-104.8769,1.72,True
340,33.94,-118.1326,0.25,True
341,49.0892,-123.0532,6.42,True
342,47.6732,-117.2394,1.2,True
343,29.6197,-95.635,2.99,True
344,38.9108,-94.3822,1.22,True
345,44.0582,-121.3153,0.61,True
346,33.9925,-117.5164,4.64,True
347,30.6327,-97.6772,4.44,True
348,44.5192,-88.0198,2.65,True
349,36.0626,-94.1574,1.29,True
350,42.0834,-71.0184,0.52,True
351,39.9784,-86.118,2.96,True
352,42.3223,-83.1763,3.07,True
353,32.7253,-114.6244,25.15,True
354,39.7285,-121.8375,3.79,True
355,33.9243,-84.3785,1.2,True
356,47.4829,-122.2171,1.74,True
357,39.9556,-86.0139,3.94,True
358,36.7284,-76.585,5.63,True
359,43.1334,-80.2664,2.57,True
360,42.4668,-70.9495,1.36,True
361,42.4122,-82.1849,4.39,True
362,38.3566,-121.9877,1.68,True
363,37.563,-122.3255,1.35,True
364,41.6834,-86.25,1.73,True
365,34.4264,-117.3009,3.52,True
366,33.9137,-98.4934,3.09,True
367,37.7399,-121.4262,2.68,True
368,41.6353,-70.927,3.03,True
369,32.7948,-116.9625,0.79,True
370,42.6526,-73.7562,3.74,True
371,26.6217,-81.8406,0.98,True
372,43.9168,-78.6829,6.48,True
373,37.7058,-122.4619,0.53,True
374,33.4356,-112.3496,13.75,True
375,52.2668,-113.802,1.74,True
376,31.4638,-100.437,2.83,True
377,35.6528,-97.4781,6.32,True
378,41.5236,-90.5776,4.29,True
379,28.9005,-81.2637,5.15,True
380,49.1664,-123.94,1.79,True
381,47.3223,-122.3126,2.24,True
382,37.3022,-120.483,1.51,True
383,42.5847,-87.8212,4.82,True
384,53.5168,-113.3187,15.95,True
385,37.271,-79.9414,1.7,True
386,31.0982,-97.3428,4.42,True
387,49.7,-112.8186,2.38,True
388,33.2,-117.2425,1.23,True
389,50.6665,-120.3192,7.64,True
390,45.3071,-73.2626,2.83,True
391,45.4871,-122.8037,1.44,True
392,46.6021,-120.5059,3.55,True
393,47.6815,-122.2087,1.73,True
394,36.8354,-76.2983,5.86,True
395,27.0442,-82.2359,4.07,True
396,35.6127,-77.3663,1.98,True
